"Segments & KPIs","2014-12-31","2015-12-31","2016-12-31","2017-12-31","2018-12-31","2019-12-31","2020-12-31","2021-12-31","2022-12-31","TTM"
"Google Properties Revenue ","45085","52357","63785","—","—","—","—","—","—","—"
"Google Search and Other Revenue ","—","—","—","69811","85296","98115","104062","148951","162450","163191"
"YouTube Ads Revenue ","—","—","—","8150","11155","15149","19772","28845","29243","29067"
"Google Network Revenue ","13971","15033","15598","17616","20010","21547","23090","31701","32780","32102"
"Google Other Revenue ","6945","7154","10080","10914","14063","17014","21711","28032","29055","29657"
"Google Cloud Revenue ","—","—","—","4056","5838","8918","13059","19206","26280","27913"
"Other Bets Revenue ","—","445","809","477","595","659","657","753","1068","916"
"Hedging Revenue ","—","—","—","-169","-138","455","176","149","1960","1766"
