"Segments & KPIs","2014-12-31","2015-12-31","2016-12-31","2017-12-31","2018-12-31","2019-12-31","2020-12-31","2021-12-31","2022-12-31","TTM"
"Online Stores Revenue ","68513","76863","91431","108354","122987","141247","197346","222075","220004","219971"
"Physical Stores Revenue ","—","—","—","5798","17224","17192","16227","17075","18963","19267"
"Third-Party ","11747","16086","22993","31881","42745","53762","80461","103366","117716","122201"
"Subscription Services Revenue ","2762","4467","6394","9721","14168","19210","25207","31768","35218","36465"
"AWS Revenue ","4644","7880","12219","17459","25655","35026","45370","62202","80096","83009"
"Advertising Services Revenue ","—","—","—","—","—","12625","19773","31160","37739","39371"
"Other Revenue ","1322","1710","2950","4653","10108","1460","1680","2176","4247","4613"
